,keyID,slope,aspect,height,lon,lat
1,CZ_JH1_L1XL1_18,1.87766,151.65056,626.51038,13.5559,49.534394
2,CZ_JH1_L1XL1_22,3.47708,152.91319,627.53937,13.55752,49.53477
3,CZ_JH1_L1XL1_24,23.51498,12.06873,579.79926,13.55768,49.539375
4,CZ_JH1_L1XL1_26,15.82004,14.41111,601.68713,13.558344,49.538129
5,CZ_JH1_L2XL2_27,16.89571,309.59644,788.92755,14.706032,48.668866
6,CZ_JH1_L2XL2_30,6.94767,321.66138,816.99652,14.708463,48.665081
7,CZ_JH1_L2XL2_33,14.37042,68.2924,791.24249,14.709875,48.667519
8,CZ_JH1_L2XL2_34,11.33699,18.80153,774.87378,14.709567,48.669894
9,CZ_JH1_L3XL3_06,17.59008,64.81052,821.74884,18.414839,49.401245
10,CZ_JH1_L3XL3_09,34.87551,28.8927,799.87891,18.416894,49.400233
11,CZ_JH1_L3XL3_10,18.50082,103.54873,795.92303,18.417316,49.402307
12,CZ_JH1_L3XL3_16,15.44544,11.32361,770.89557,18.419572,49.400854
13,CZ_JH1_L4XL4_06,26.53699,280.90842,701.005,15.508777,49.312158
14,CZ_JH1_L4XL4_09,25.74803,239.83423,691.88385,15.514197,49.30596
15,CZ_JH1_L4XL4_31,13.61891,71.42441,695.35974,15.523291,49.316001
16,CZ_JH1_L4XL4_33,31.40177,76.34471,681.92767,15.524483,49.312404
17,CZ_JH1_L6XL6_05,2.81877,230.57368,196.02242,14.718151,50.191785
18,CZ_JH1_L6XL6_08,0.66619,176.3703,196.98778,14.719318,50.192186
19,CZ_JH1_L6XL6_10,1.479,132.89957,196.26219,14.720417,50.191715
20,CZ_JH1_L1XL1_03,16.84997,264.33569,592.39056,13.536873,49.533397
21,CZ_JH1_L1XL1_13,5.55226,356.98041,638.88684,13.551251,49.534447
22,CZ_JH1_L1XL1_33,23.47762,24.26012,555.66034,13.565663,49.539486
23,CZ_JH1_L1XL1_48,13.36855,66.8968,485.7774,13.586573,49.529887
24,CZ_JH1_L2XL2_05,22.34739,98.87504,897.50775,14.680742,48.662042
25,CZ_JH1_L2XL2_13,26.03545,164.87079,858.43335,14.687877,48.686498
26,CZ_JH1_L2XL2_14,22.44545,338.88956,872.2348,14.693495,48.658748
27,CZ_JH1_L2XL2_16,6.74868,315.07404,924.07733,14.699065,48.655193
28,CZ_JH1_L3XL3_02,34.96441,347.59659,799.37396,18.406086,49.401812
29,CZ_JH1_L3XL3_12,20.8303,45.46583,799.82288,18.416996,49.409561
30,CZ_JH1_L3XL3_32,23.22079,305.53625,836.63794,18.436693,49.39456
31,CZ_JH1_L3XL3_42,21.95008,304.64615,813.21088,18.447606,49.400818
32,CZ_JH1_L4XL4_10,12.88681,322.11536,659.87024,15.512698,49.32466
33,CZ_JH1_L4XL4_16,7.91173,81.13689,699.88483,15.518163,49.309736
34,CZ_JH1_L4XL4_17,8.33394,200.54819,680.57037,15.519999,49.301357
35,CZ_JH1_L4XL4_25,3.99639,89.46446,688.64478,15.522038,49.305501
