x y species dbh height age
24.84 38.25 quro 42.25 30.7 133
23.28 31.59 quro 34 28.8 111
17.47 36.36 quro 28.5 30.2 127
12.24 39.44 quro 44.25 30.4 129
0.25 43.37 quro 36 27.6 99
1.46 36.49 quro 36 30.8 134
1.27 24.03 quro 35.25 27 93
8.31 49.15 quro 48 33.9 175
6.04 27.74 tico 39.5 29.1 108
6.04 27.74 tico 47 29.1 108
5.38 28.3 tico 39.5 30.3 117
5.38 28.3 tico 42 30.3 117
9.76 29.9 quro 31 27.1 94
16.21 32.25 quro 36 29.1 114
17.67 27.62 quro 46.25 32 150
25 29.09 quro 40.75 30.7 133
14.86 26.82 quro 41.5 30.9 135
19 22.55 quro 25.25 25.8 83
20.85 21.25 quro 37.75 31 137
25.16 19.95 quro 32.5 22.8 63
10.66 49.12 quro 37 28.8 111
18.49 16.77 quro 30.25 25 77
12.19 20.93 quro 35.25 28.7 110
9.72 21.26 quro 34.5 20.8 54
6.92 17.9 quro 37.75 32.2 152
3.91 13.77 quro 37.25 29.1 114
2.27 11.23 quro 32.75 24.8 76
1.98 7.32 quro 28.25 27 93
5.71 9.39 quro 35.25 25.9 84
8.73 14.36 quro 26 27.8 100
19.12 19 quro 24.75 23.8 69
11.81 13.67 quro 30.5 26.8 91
12.28 11.73 quro 41.5 29.7 121
15.94 2.89 quro 37 27.8 100
28.82 0.34 quro 36 28.3 105
28.11 1.33 quro 31.25 23.8 69
18.24 7.62 quro 32.25 22.3 61
20.48 6.4 quro 43.25 27.7 99
15.72 45.79 quro 42.75 33.1 164
22.72 4.94 quro 22.75 21 55
29.66 5.45 quro 34.25 21.2 55
35.74 6.14 quro 41.75 26.3 87
41.95 5.16 quro 35.5 30.1 126
43.81 5.96 quro 32 26.9 92
45.66 0.25 quro 38.25 29.6 120
43.79 8.38 quro 40 29.5 119
19.08 41.67 quro 44.25 31.5 143
35.81 10.65 quro 28.75 28.4 106
28.97 46.51 quro 34.75 30.8 134
37.58 48.01 quro 28 24.4 73
36.54 45.16 quro 30 24.8 76
35.8 42.38 quro 37.75 28.3 105
41.53 42.31 quro 39.75 29.6 120
48.35 38.02 quro 38.75 27.4 97
44.43 36.9 quro 33.5 28 102
37.34 37.53 quro 38.25 26.6 89
22.3 49.03 quro 25.75 28.7 110
33.95 36.45 quro 54 32.2 152
28.77 32.09 quro 21.25 23.9 70
33.82 31.42 quro 35.25 26.8 91
44.34 31.14 quro 49.25 28.3 105
47.48 31.58 quro 43.25 28.7 110
40.27 25.73 quro 43.25 27.7 99
32.43 25.36 tico 65.25 27.1 95
27.91 29.54 quro 26.75 22.5 62
29.72 23.72 quro 38.75 29.1 114
28.27 18.34 quro 54.75 28.6 109
24.09 49.68 quro 22.75 24.6 74
32.25 16.85 quro 46.25 30.4 129
38.24 12.24 quro 41.75 25.7 82
35.57 15.5 quro 23.5 23.2 66
45.64 19.57 quro 44.5 32.2 152
