x y species dbh height age
1.63 21.65 pisy 14.5 13.5 27
22.79 27.06 quro 46.75 23 47
40.34 3.29 quro 65.25 30.5 89
29.14 0.25 pisy 31.5 25.6 58
31.1 27.7 lade 11.75 15.7 31
43.4 27.54 pisy 30.5 22.8 49
45.28 28.09 tico 11.5 6.4 32
49.41 24.9 pisy 21 21.2 44
0.25 16.33 pisy 39 21.3 45
45.49 24.87 tico 11.75 11.1 51
45.49 24.87 tico 15.75 11.1 51
42.31 25.03 pisy 39.75 24.4 54
41 21.69 pisy 35.75 24.7 55
37.52 24.39 lade 25.75 25.4 58
36.07 26.59 lade 16.25 19.5 40
33.5 24.39 pisy 25 22.7 49
33 26.29 lade 21 22.1 47
5.02 16.6 pisy 36.25 25.3 57
26.6 23.52 quro 38.75 25.6 58
25.25 22.02 quro 56.75 25.3 57
23.95 20.41 quro 44.5 27.5 68
21.86 20.94 tico 8 7.2 35
22.39 23.95 quro 26 14.4 26
15.84 19.06 quro 35.25 20.9 41
13.28 22.4 quro 40.25 21.3 42
11.09 19.27 pisy 28.5 20.9 44
7.71 17.12 lade 18.75 21.7 46
11.99 15.1 pisy 30 24.6 55
3.98 20.34 pisy 33 21.6 46
5.4 13.41 quro 46 20.9 41
12.27 14.56 pisy 28 25.5 58
11.62 10.5 pisy 11.25 15.2 30
14.89 10.53 pisy 22 23.4 51
17.3 12.36 pisy 33.75 27.9 68
18.16 13.11 pisy 21.75 21.2 44
19.3 12.81 tico 27.5 26.6 162
21.09 15.93 tico 11.25 9.6 45
22.75 13.75 pisy 32.25 25.2 57
23.36 17.62 tico 10 9.9 46
6.48 21.43 pisy 26.25 23.4 51
24.94 16.47 tico 5.5 5.3 28
38.76 18.59 lade 12.25 14.5 29
44.48 16.15 lade 27 26.3 61
46.44 14.54 lade 31 25.7 59
47.8 9.7 lade 31 23.9 53
45.86 11.26 lade 29.75 25.1 57
44.96 14.57 pisy 16.5 17.7 36
42.48 13.59 tico 11 8.7 41
42.49 14.23 tico 9.25 7.9 38
40.58 13.54 lade 22 24.5 55
0.91 30.83 quro 8.25 6.6 13
39.52 13.1 lade 15 23 50
39.49 16.84 lade 38 25.7 59
32.81 17.66 lade 28.25 27 64
31.08 12.82 pisy 36.75 27.5 66
26.54 15.22 tico 5.5 3.6 22
26.27 15.08 tico 9 6.1 31
26.25 9.86 lade 34 27.8 67
27.01 8.03 pisy 15.25 14.4 29
25.29 9.11 pisy 13 10.8 22
25.06 13.16 pisy 22 20.7 43
12.77 30.41 pisy 36.5 27.4 66
22.65 9.88 pisy 23.5 23.2 50
13.02 8 pisy 32 21.7 46
16.16 7.91 pisy 35 28.1 69
18.11 5.25 pisy 24.75 24.5 55
21.26 5.89 lade 26.25 24.4 54
18.82 31.68 pisy 27 19.1 39
22.19 26.39 quro 22 12 22
31.48 9.85 pisy 24.25 22.5 48
33.23 8.78 pisy 18.25 18.9 38
34.55 11.54 lade 29 24.9 56
40.53 8.95 lade 27.5 24.4 54
41.39 9.67 lade 24 25.3 57
40.71 7.42 tico 11.25 11.6 53
41.03 6.07 tico 14.75 12.3 56
39.44 5.7 tico 10.25 10.6 49
51.63 21.65 pisy 14.5 13.5 27
72.79 27.06 quro 46.75 23 47
90.34 3.29 quro 65.25 30.5 89
79.14 0.25 pisy 31.5 25.6 58
81.1 27.7 lade 11.75 15.7 31
93.4 27.54 pisy 30.5 22.8 49
95.28 28.09 tico 11.5 6.4 32
99.41 24.9 pisy 21 21.2 44
50.25 16.33 pisy 39 21.3 45
95.49 24.87 tico 11.75 11.1 51
95.49 24.87 tico 15.75 11.1 51
92.31 25.03 pisy 39.75 24.4 54
91 21.69 pisy 35.75 24.7 55
87.52 24.39 lade 25.75 25.4 58
86.07 26.59 lade 16.25 19.5 40
83.5 24.39 pisy 25 22.7 49
83 26.29 lade 21 22.1 47
55.02 16.6 pisy 36.25 25.3 57
76.6 23.52 quro 38.75 25.6 58
75.25 22.02 quro 56.75 25.3 57
73.95 20.41 quro 44.5 27.5 68
71.86 20.94 tico 8 7.2 35
72.39 23.95 quro 26 14.4 26
65.84 19.06 quro 35.25 20.9 41
63.28 22.4 quro 40.25 21.3 42
61.09 19.27 pisy 28.5 20.9 44
57.71 17.12 lade 18.75 21.7 46
61.99 15.1 pisy 30 24.6 55
53.98 20.34 pisy 33 21.6 46
55.4 13.41 quro 46 20.9 41
62.27 14.56 pisy 28 25.5 58
61.62 10.5 pisy 11.25 15.2 30
64.89 10.53 pisy 22 23.4 51
67.3 12.36 pisy 33.75 27.9 68
68.16 13.11 pisy 21.75 21.2 44
69.3 12.81 tico 27.5 26.6 162
71.09 15.93 tico 11.25 9.6 45
72.75 13.75 pisy 32.25 25.2 57
73.36 17.62 tico 10 9.9 46
56.48 21.43 pisy 26.25 23.4 51
74.94 16.47 tico 5.5 5.3 28
88.76 18.59 lade 12.25 14.5 29
94.48 16.15 lade 27 26.3 61
96.44 14.54 lade 31 25.7 59
97.8 9.7 lade 31 23.9 53
95.86 11.26 lade 29.75 25.1 57
94.96 14.57 pisy 16.5 17.7 36
92.48 13.59 tico 11 8.7 41
92.49 14.23 tico 9.25 7.9 38
90.58 13.54 lade 22 24.5 55
50.91 30.83 quro 8.25 6.6 13
89.52 13.1 lade 15 23 50
89.49 16.84 lade 38 25.7 59
82.81 17.66 lade 28.25 27 64
81.08 12.82 pisy 36.75 27.5 66
76.54 15.22 tico 5.5 3.6 22
76.27 15.08 tico 9 6.1 31
76.25 9.86 lade 34 27.8 67
77.01 8.03 pisy 15.25 14.4 29
75.29 9.11 pisy 13 10.8 22
75.06 13.16 pisy 22 20.7 43
62.77 30.41 pisy 36.5 27.4 66
72.65 9.88 pisy 23.5 23.2 50
63.02 8 pisy 32 21.7 46
66.16 7.91 pisy 35 28.1 69
68.11 5.25 pisy 24.75 24.5 55
71.26 5.89 lade 26.25 24.4 54
68.82 31.68 pisy 27 19.1 39
72.19 26.39 quro 22 12 22
81.48 9.85 pisy 24.25 22.5 48
83.23 8.78 pisy 18.25 18.9 38
84.55 11.54 lade 29 24.9 56
90.53 8.95 lade 27.5 24.4 54
91.39 9.67 lade 24 25.3 57
90.71 7.42 tico 11.25 11.6 53
91.03 6.07 tico 14.75 12.3 56
89.44 5.7 tico 10.25 10.6 49
1.63 71.65 pisy 14.5 13.5 27
22.79 77.06 quro 46.75 23 47
40.34 53.29 quro 65.25 30.5 89
29.14 50.25 pisy 31.5 25.6 58
31.1 77.7 lade 11.75 15.7 31
43.4 77.54 pisy 30.5 22.8 49
45.28 78.09 tico 11.5 6.4 32
49.41 74.9 pisy 21 21.2 44
0.25 66.33 pisy 39 21.3 45
45.49 74.87 tico 11.75 11.1 51
45.49 74.87 tico 15.75 11.1 51
42.31 75.03 pisy 39.75 24.4 54
41 71.69 pisy 35.75 24.7 55
37.52 74.39 lade 25.75 25.4 58
36.07 76.59 lade 16.25 19.5 40
33.5 74.39 pisy 25 22.7 49
33 76.29 lade 21 22.1 47
