x y species dbh height age
44.51 48.9 fasy 9.5 8.1 34
45.37 38.07 fasy 51.25 38.1 256
29.22 8.92 fasy 9.25 9.2 38
31.56 10.18 fasy 9.25 9.9 40
29.36 9.48 fasy 9.25 10.5 43
30.03 12.1 fasy 7.75 8.3 35
30.3 14.23 fasy 8.25 8.9 37
29.94 14.19 fasy 5.25 6.7 30
29.8 15.88 fasy 10.5 9.1 38
33.16 20.6 fasy 8.75 8.3 35
49.66 10.56 fasy 6.75 9.8 40
27.17 20.47 fasy 8.25 6.9 30
24.85 20.3 fasy 7.5 8.7 36
26.22 21.66 fasy 8 7.7 33
27.72 25.1 fasy 12.5 11.1 45
30.81 30.87 abal 62 35.8 126
29.12 31.38 fasy 5.75 8.8 37
28.13 31.89 fasy 5.75 6.6 29
31.67 40.01 fasy 7 5.7 26
36.31 39.79 fasy 7 7.2 31
42.96 22.05 fasy 11.25 6.9 30
35.72 41.05 fasy 5 5.7 26
37.17 41.6 fasy 8.25 9.2 38
38.62 41.47 fasy 9 8.2 35
39.48 34.31 fasy 6.25 6.5 29
17.55 10.47 fasy 53.75 37.8 253
15.81 1.67 fasy 58 37.8 253
23.6 16.89 fasy 39.5 31.3 187
39.23 24.9 fasy 6.5 6.7 30
36.72 30.26 abal 71.75 42.4 180
37.9 29.14 fasy 13.5 11.2 45
46.56 19.08 fasy 58 31.9 193
48.06 22.16 fasy 6.75 7.7 33
47.74 9.64 fasy 8.5 10.9 44
44.76 19.71 fasy 10 10.8 44
41.57 33.79 fasy 7 7.1 31
40.17 46.82 fasy 56 33.6 210
49.24 14.45 fasy 13 11.4 46
41.46 45.57 fasy 49.75 34.6 221
19.59 27.17 fasy 5.75 6.4 29
10.96 26.58 fasy 38.5 30 174
44.82 5.48 fasy 7.5 11.6 47
34.1 8.09 fasy 8.25 8.3 35
16.54 26.35 fasy 39.5 31.2 186
42.46 5.19 fasy 17 12.8 51
26.91 13.59 fasy 8.75 9.6 39
38.09 15.21 fasy 19.75 13.8 55
47.01 3.3 fasy 6.25 12.3 49
48.29 4.31 fasy 8.25 11.6 47
34.36 1.23 fasy 6.25 5.9 27
45.22 6.04 abal 57.25 39.1 152
