x y species dbh height age
26.22 23.3 piab 39.5 33.1 85
1.68 10.48 piab 42.75 35.2 97
4.51 7.61 piab 30 31.1 76
8.34 6.36 piab 33 31.4 77
14.35 6.85 piab 30.75 33.1 85
18.47 6.85 piab 27.75 27.1 61
23.47 5.09 piab 24 28.4 66
18.17 0.25 piab 37.25 31.8 79
28.36 28 piab 23.5 24.9 55
10.35 1.6 piab 53.75 33 85
0.87 2.37 piab 39.75 31.8 79
27.35 4.41 piab 47.75 33.3 86
30.53 8.83 piab 32.25 29.9 71
28.8 10.97 piab 24.5 24.2 53
31.27 12.74 piab 67 34 90
36.02 17.26 piab 37 30 72
31.86 29.52 piab 44.5 33.1 85
36.09 14.57 piab 30.75 28.6 66
7.5 29.68 piab 37 33.6 88
10.73 30.17 piab 33.75 32.3 81
12.21 26.87 piab 35 33 85
15.26 33.86 piab 31.5 30.4 73
28.99 14.44 piab 37.75 30.7 74
32.48 16.01 piab 24 27.7 63
31.81 20.41 piab 25.5 24.5 54
36.47 31.15 piab 32.25 30.7 74
37.06 23.04 piab 39 31.8 79
42.37 22.07 piab 24 26.1 58
47.23 21.64 pisy 40.25 28.5 79
47.51 24.33 piab 30.5 29.5 70
46.96 19.62 piab 31.75 30.3 73
44.64 14.65 pisy 38.75 27.7 75
41.28 29.34 piab 17 19.6 42
43.21 30.16 piab 36.25 29.7 70
48.16 28.14 piab 33.25 31.7 79
41.32 25.05 piab 31 28.1 65
49.97 5.08 piab 34.75 30.3 73
46.56 4.99 piab 40.5 28.7 67
30.53 32.57 piab 29.5 31.6 78
41.5 17 piab 36 30.4 73
42.14 9.02 piab 31.25 27.5 63
38.54 9.48 piab 37 30.2 72
35.81 7.85 piab 29.25 27.2 62
36.81 0.84 piab 43 33.6 88
25.84 35.54 piab 33.5 31 76
47.03 50 piab 30.25 30 72
33.94 50 piab 33.5 30.9 75
23.99 37.57 piab 31 31.8 79
20.96 37.36 piab 39 32.8 84
23.8 21.39 piab 42.25 33.7 88
3.76 47.65 piab 41 33.3 86
12.55 47.24 piab 40.5 35 95
16 48.61 piab 45.25 33.5 87
24.37 48.46 piab 36.25 29.3 69
21.94 42.13 piab 47.75 34.8 94
26.21 20.43 piab 32.75 29.9 71
10.59 36.79 piab 26.5 29.8 71
10.29 42.33 piab 33 31.6 78
7.29 45.33 piab 45.75 33.7 88
0.62 40.35 piab 24.75 29 68
20.87 24.05 piab 35 29.5 70
4.53 34.91 piab 36.5 35.8 100
6.97 38.29 piab 32 29.9 71
2.64 31.69 piab 31.5 31.4 77
4.69 26.15 piab 35.5 30.5 74
45.97 48.54 piab 42 37.3 110
43.51 46.09 piab 26.25 28.6 66
46.28 42.86 piab 57.25 33.7 88
36.94 46.88 piab 40.5 33.5 87
31.67 48.52 piab 35.5 32.9 84
29.06 45.65 piab 38.25 34.8 94
19.54 28.19 piab 42.5 34.1 90
24.97 42.59 piab 27.25 29.7 70
30.94 43.44 piab 36 32.6 83
37.68 42.68 piab 37.25 31.4 77
34.1 40.87 piab 47.75 33.7 88
37.45 38.66 piab 47 32.5 82
46.35 36.88 piab 38 32.2 81
43.07 35.89 piab 29.5 28.2 65
19.48 30.74 piab 44 32 80
32.02 36.06 piab 44.25 32.8 84
15.1 24.28 piab 38.5 32.3 81
14.64 20.22 piab 37.25 32.3 81
9.65 21.92 piab 29.75 30 72
7.96 24.19 piab 32 29.1 68
0.25 20.22 piab 29.25 31.7 79
22.62 31.43 piab 39.75 32 80
3.28 20.34 piab 28 30.2 72
5.22 18.47 piab 30.75 29.9 71
10.79 15.07 piab 32.5 31.2 76
16.44 18.27 piab 32.25 32.2 81
21.93 17.75 piab 46.25 34.3 92
22.84 13.42 piab 20 20.5 44
25.52 31.66 piab 27.25 27.6 63
21.32 10.08 piab 32.5 30.6 74
19.44 12.02 piab 43.5 34.3 92
14.63 10.91 piab 33 30.7 74
10.91 12.11 piab 28 29.4 69
5.18 11.52 piab 33.75 30.5 74
3.76 15.5 piab 44 35.7 100
76.22 23.3 piab 39.5 33.1 85
51.68 10.48 piab 42.75 35.2 97
54.51 7.61 piab 30 31.1 76
58.34 6.36 piab 33 31.4 77
64.35 6.85 piab 30.75 33.1 85
68.47 6.85 piab 27.75 27.1 61
73.47 5.09 piab 24 28.4 66
68.17 0.25 piab 37.25 31.8 79
78.36 28 piab 23.5 24.9 55
60.35 1.6 piab 53.75 33 85
50.87 2.37 piab 39.75 31.8 79
77.35 4.41 piab 47.75 33.3 86
80.53 8.83 piab 32.25 29.9 71
78.8 10.97 piab 24.5 24.2 53
81.27 12.74 piab 67 34 90
86.02 17.26 piab 37 30 72
81.86 29.52 piab 44.5 33.1 85
86.09 14.57 piab 30.75 28.6 66
57.5 29.68 piab 37 33.6 88
60.73 30.17 piab 33.75 32.3 81
62.21 26.87 piab 35 33 85
65.26 33.86 piab 31.5 30.4 73
78.99 14.44 piab 37.75 30.7 74
82.48 16.01 piab 24 27.7 63
81.81 20.41 piab 25.5 24.5 54
86.47 31.15 piab 32.25 30.7 74
87.06 23.04 piab 39 31.8 79
92.37 22.07 piab 24 26.1 58
97.23 21.64 pisy 40.25 28.5 79
97.51 24.33 piab 30.5 29.5 70
96.96 19.62 piab 31.75 30.3 73
94.64 14.65 pisy 38.75 27.7 75
91.28 29.34 piab 17 19.6 42
93.21 30.16 piab 36.25 29.7 70
98.16 28.14 piab 33.25 31.7 79
91.32 25.05 piab 31 28.1 65
99.97 5.08 piab 34.75 30.3 73
96.56 4.99 piab 40.5 28.7 67
80.53 32.57 piab 29.5 31.6 78
91.5 17 piab 36 30.4 73
92.14 9.02 piab 31.25 27.5 63
88.54 9.48 piab 37 30.2 72
85.81 7.85 piab 29.25 27.2 62
86.81 0.84 piab 43 33.6 88
75.84 35.54 piab 33.5 31 76
97.03 50 piab 30.25 30 72
83.94 50 piab 33.5 30.9 75
73.99 37.57 piab 31 31.8 79
70.96 37.36 piab 39 32.8 84
73.8 21.39 piab 42.25 33.7 88
53.76 47.65 piab 41 33.3 86
62.55 47.24 piab 40.5 35 95
66 48.61 piab 45.25 33.5 87
74.37 48.46 piab 36.25 29.3 69
71.94 42.13 piab 47.75 34.8 94
76.21 20.43 piab 32.75 29.9 71
60.59 36.79 piab 26.5 29.8 71
60.29 42.33 piab 33 31.6 78
57.29 45.33 piab 45.75 33.7 88
50.62 40.35 piab 24.75 29 68
70.87 24.05 piab 35 29.5 70
54.53 34.91 piab 36.5 35.8 100
56.97 38.29 piab 32 29.9 71
52.64 31.69 piab 31.5 31.4 77
54.69 26.15 piab 35.5 30.5 74
95.97 48.54 piab 42 37.3 110
93.51 46.09 piab 26.25 28.6 66
96.28 42.86 piab 57.25 33.7 88
86.94 46.88 piab 40.5 33.5 87
81.67 48.52 piab 35.5 32.9 84
79.06 45.65 piab 38.25 34.8 94
69.54 28.19 piab 42.5 34.1 90
74.97 42.59 piab 27.25 29.7 70
80.94 43.44 piab 36 32.6 83
87.68 42.68 piab 37.25 31.4 77
84.1 40.87 piab 47.75 33.7 88
87.45 38.66 piab 47 32.5 82
96.35 36.88 piab 38 32.2 81
93.07 35.89 piab 29.5 28.2 65
69.48 30.74 piab 44 32 80
82.02 36.06 piab 44.25 32.8 84
65.1 24.28 piab 38.5 32.3 81
64.64 20.22 piab 37.25 32.3 81
59.65 21.92 piab 29.75 30 72
57.96 24.19 piab 32 29.1 68
50.25 20.22 piab 29.25 31.7 79
72.62 31.43 piab 39.75 32 80
53.28 20.34 piab 28 30.2 72
55.22 18.47 piab 30.75 29.9 71
60.79 15.07 piab 32.5 31.2 76
66.44 18.27 piab 32.25 32.2 81
71.93 17.75 piab 46.25 34.3 92
72.84 13.42 piab 20 20.5 44
75.52 31.66 piab 27.25 27.6 63
71.32 10.08 piab 32.5 30.6 74
69.44 12.02 piab 43.5 34.3 92
64.63 10.91 piab 33 30.7 74
60.91 12.11 piab 28 29.4 69
55.18 11.52 piab 33.75 30.5 74
53.76 15.5 piab 44 35.7 100
26.22 73.3 piab 39.5 33.1 85
1.68 60.48 piab 42.75 35.2 97
4.51 57.61 piab 30 31.1 76
8.34 56.36 piab 33 31.4 77
14.35 56.85 piab 30.75 33.1 85
18.47 56.85 piab 27.75 27.1 61
23.47 55.09 piab 24 28.4 66
18.17 50.25 piab 37.25 31.8 79
28.36 78 piab 23.5 24.9 55
10.35 51.6 piab 53.75 33 85
0.87 52.37 piab 39.75 31.8 79
27.35 54.41 piab 47.75 33.3 86
30.53 58.83 piab 32.25 29.9 71
28.8 60.97 piab 24.5 24.2 53
31.27 62.74 piab 67 34 90
36.02 67.26 piab 37 30 72
31.86 79.52 piab 44.5 33.1 85
36.09 64.57 piab 30.75 28.6 66
7.5 79.68 piab 37 33.6 88
10.73 80.17 piab 33.75 32.3 81
12.21 76.87 piab 35 33 85
15.26 83.86 piab 31.5 30.4 73
28.99 64.44 piab 37.75 30.7 74
32.48 66.01 piab 24 27.7 63
31.81 70.41 piab 25.5 24.5 54
36.47 81.15 piab 32.25 30.7 74
37.06 73.04 piab 39 31.8 79
42.37 72.07 piab 24 26.1 58
47.23 71.64 pisy 40.25 28.5 79
47.51 74.33 piab 30.5 29.5 70
46.96 69.62 piab 31.75 30.3 73
44.64 64.65 pisy 38.75 27.7 75
41.28 79.34 piab 17 19.6 42
43.21 80.16 piab 36.25 29.7 70
48.16 78.14 piab 33.25 31.7 79
41.32 75.05 piab 31 28.1 65
49.97 55.08 piab 34.75 30.3 73
46.56 54.99 piab 40.5 28.7 67
30.53 82.57 piab 29.5 31.6 78
41.5 67 piab 36 30.4 73
42.14 59.02 piab 31.25 27.5 63
38.54 59.48 piab 37 30.2 72
35.81 57.85 piab 29.25 27.2 62
36.81 50.84 piab 43 33.6 88
25.84 85.54 piab 33.5 31 76
47.03 100 piab 30.25 30 72
33.94 100 piab 33.5 30.9 75
23.99 87.57 piab 31 31.8 79
20.96 87.36 piab 39 32.8 84
23.8 71.39 piab 42.25 33.7 88
3.76 97.65 piab 41 33.3 86
12.55 97.24 piab 40.5 35 95
16 98.61 piab 45.25 33.5 87
24.37 98.46 piab 36.25 29.3 69
21.94 92.13 piab 47.75 34.8 94
26.21 70.43 piab 32.75 29.9 71
10.59 86.79 piab 26.5 29.8 71
10.29 92.33 piab 33 31.6 78
7.29 95.33 piab 45.75 33.7 88
0.62 90.35 piab 24.75 29 68
20.87 74.05 piab 35 29.5 70
4.53 84.91 piab 36.5 35.8 100
6.97 88.29 piab 32 29.9 71
2.64 81.69 piab 31.5 31.4 77
4.69 76.15 piab 35.5 30.5 74
45.97 98.54 piab 42 37.3 110
43.51 96.09 piab 26.25 28.6 66
46.28 92.86 piab 57.25 33.7 88
36.94 96.88 piab 40.5 33.5 87
