x y species dbh height age
37.66 45.54 piab 13.5 14.1 26
34.67 31.35 piab 20 18.2 32
28.16 37.27 fasy 9.75 11.6 23
27.5 34.59 piab 22 18 31
26.3 38.42 piab 18.25 17.2 30
26.5 36.91 piab 11 9.7 20
24.59 38.07 piab 10.75 12.7 24
22.92 38.88 piab 8.5 10.3 21
23.42 37.72 piab 21.75 16.4 29
20.62 38.35 piab 20.5 18.4 32
19.17 36.64 piab 19.25 15.3 27
0.98 40.43 piab 25 20.8 36
19.03 39.98 piab 18.5 17.1 30
18.08 37.59 piab 23.5 17 30
17.72 39.27 piab 10 5.6 14
16.83 36.44 piab 17.75 15.5 28
14.12 38.39 piab 17.5 16.2 29
14.34 34.41 piab 18 16.5 29
12.82 39.56 piab 17.75 16.5 29
12.22 33.4 piab 24.25 17.8 31
11.45 38.4 piab 20.5 18.5 32
11.83 35.74 piab 18.25 15.1 27
34.74 49.32 piab 15 15 27
9.67 35.49 piab 20.25 17 30
7.94 38.9 fasy 10.5 12.2 24
5.36 37.7 piab 16.25 14.9 27
5.22 41.92 piab 15.25 14.8 27
5.03 39.98 piab 19.25 16.5 29
3.08 39.9 piab 20 16.4 29
1.2 39.17 piab 16.75 15.8 28
2.43 38.34 piab 13.75 14.2 26
4.71 35.8 piab 16 16.6 29
1.95 36.82 piab 11.5 11.7 22
1.46 32.3 piab 17.25 14.4 26
3.65 32.44 piab 21.25 17.5 31
5.83 34.5 piab 17.5 15.8 28
5.81 33.58 piab 16.25 16.8 30
3.73 30.05 piab 26 19 33
1.53 30.58 fasy 8.25 11.3 23
5.94 30.01 piab 21.75 18.1 31
9.71 31.15 piab 21.5 17.7 31
29.29 17.07 piab 12.75 15.5 28
11.19 30.29 piab 16.25 15 27
12.67 29.37 piab 23.25 19.5 34
14.63 31.42 piab 21.5 17.1 30
15.64 32.88 piab 19.25 16.8 30
18.69 30.91 fasy 6 5.8 14
19.95 30.1 piab 27 18.8 32
21.4 33.04 piab 21.75 19 33
24.34 33.05 piab 24.75 18.1 31
26.13 27.63 piab 20.75 16.4 29
25.45 32.13 piab 20.5 18.2 32
32.7 49.2 piab 25.25 16.1 29
27.61 26.77 piab 14.5 15.4 28
27.75 32.2 piab 24.25 19 33
27.83 25.55 fasy 6.5 9 19
29.03 31.25 piab 19.75 14.7 27
31.52 31.39 piab 25.25 17.8 31
32.22 25.64 piab 20.75 16.8 30
30.64 29.8 piab 17.75 16 28
34.46 27.61 piab 29 18.7 32
32.86 30.45 piab 13.75 15.8 28
38.85 28.73 piab 24.5 16.5 29
33.79 47.86 piab 17 15.1 27
38.63 31.18 piab 18.25 15.9 28
39.76 30.31 piab 13 15.2 27
40.47 31.67 piab 23.75 18 31
40.07 27.33 fasy 7.75 6.9 16
41.67 30.74 piab 25.75 21.2 36
44.1 24.2 fasy 9.75 10.8 22
47.45 29.62 piab 25.75 20.1 34
45.71 26.16 piab 26.5 19.6 34
49.37 29.84 piab 18 17.1 30
46.57 25.57 piab 14.5 18.2 32
47.37 29.13 fasy 12.5 12.3 25
47.3 26.99 piab 15.75 16.3 29
49.6 27.27 piab 18.5 18.2 32
49.75 21.54 piab 24.5 18.1 31
46.21 23.07 piab 23 17.3 30
48.19 20.48 piab 24 19.9 34
46.02 20.42 piab 16.75 17.4 30
46.4 17.82 piab 18.75 17.4 30
45.01 19.14 piab 27.25 18.4 32
43.21 14.17 piab 27.25 21.7 37
43.12 21.61 piab 22.25 18.6 32
38.56 19 piab 24.25 18 31
39.45 23.08 piab 25.5 19 33
36.21 21.24 piab 16.75 16.5 29
36.83 18.57 piab 23.5 16.5 29
34.64 22.19 piab 27.25 18.8 32
35.87 17.08 piab 18.5 18.1 31
32.5 23.46 fasy 7.5 11.1 23
34.35 16.61 piab 20.5 16 28
11.4 13.29 piab 26 17.9 31
31.48 24.22 piab 24 16.7 29
33.01 17.63 piab 33.75 20.2 35
29 23.92 piab 24.75 17.1 30
31.75 19.82 piab 22.5 15.8 28
26.48 19.92 piab 21.5 17.2 30
25.83 24.94 fasy 5.75 11.1 23
25.13 23.11 piab 19.25 18 31
25.25 20.74 piab 17.25 15.8 28
24.63 19.32 piab 13 12.9 24
23 18.42 piab 19.25 18.3 32
35.05 43.89 piab 27.5 21.1 36
31.88 50 piab 30.5 19.5 31
21.65 32.52 piab 22 17.6 31
23.92 17.35 piab 22.25 17.6 31
24.34 25.57 piab 17.5 16.8 30
22.65 25.01 piab 20.75 17.8 31
21.4 25.75 piab 23.75 21 36
22.67 27.87 piab 22.75 17.4 30
21.38 27.3 piab 20.5 17.1 30
18.56 25.97 piab 30.25 19.3 33
18.33 24.05 piab 14.5 13.6 25
19.3 21.57 piab 18.25 16.6 29
17.78 22.26 piab 17 15.5 28
36.59 13.01 piab 5.5 8.1 27
14.57 22.51 piab 18 15.3 27
13.28 23.45 piab 19 14.4 26
14.19 24.77 piab 23.25 17.9 31
12.85 27.22 piab 19.5 17.8 31
11.5 28.06 piab 21.75 18 31
9.83 27.26 piab 18.25 16.9 30
8.47 28.06 piab 18.75 15.6 28
7.03 27.8 fasy 11.25 11.9 24
2.54 25.64 piab 22.25 15.8 28
15.31 49.7 piab 23.5 18.8 32
0.68 23.39 piab 14.75 13.4 25
3.13 21.46 piab 15.25 13.2 24
4.59 20.36 piab 22.5 16.5 29
5.02 23.99 piab 20.25 16.9 30
7.78 21.86 piab 23.75 18.1 31
10.23 21.95 piab 18 15.8 28
11.36 21.25 piab 16.75 14.6 26
13.24 18.25 piab 17.5 16.4 29
14.6 17.13 piab 17.75 15.2 27
19.9 18.75 piab 20.5 19.8 34
19.05 17.68 piab 21.5 17.7 31
18.09 16.2 piab 34 19.7 34
17.17 15.17 piab 19.75 18.6 32
15.59 12.6 piab 20.25 19 33
14.67 11.52 piab 27.25 19.5 34
12.16 9.59 piab 26.25 16.4 29
12.05 13.57 piab 20.5 19.6 34
11.67 15.61 piab 24.5 20 34
16.01 48.03 piab 18.25 19.4 33
10.2 16.77 piab 14.25 14.3 26
9.11 17.57 piab 19.25 18.3 32
5.72 16.35 piab 12 14.2 26
4.5 17.21 piab 24 17.2 30
3.41 16.21 fasy 5.75 11.3 23
1.03 15.93 piab 17.75 15.1 27
0.25 9.36 piab 15 13.7 25
14.49 46.98 piab 26 17.3 30
1.87 5.66 piab 23.5 17.9 31
2.25 2.23 piab 21.75 16.5 29
6.41 2.18 piab 17 13.8 25
6.71 6.97 piab 21.25 17.5 31
6.73 5.62 piab 22.25 17.2 30
7.07 10.01 piab 18 14.9 27
2.38 13.68 piab 21.75 16.4 29
7.22 13.76 piab 24.5 19.1 33
8.4 10.83 piab 17 16.3 29
9.72 11.59 piab 15.75 15.5 28
50 1.48 piab 17 16.9 27
17.2 9.42 piab 16.25 15.2 27
7.9 1.7 piab 24.25 18.1 31
9.74 4.24 piab 18.25 16.3 29
19.52 13.26 piab 13.75 9.7 20
9.25 2.85 piab 20.5 18.1 31
21.31 12.91 piab 21.25 18.7 32
17.91 7.06 piab 22.5 17.3 30
14.23 3.55 piab 27.5 19.6 34
21.44 15.29 piab 17 15.3 27
43.85 40.76 piab 8 10 31
21.05 6.66 piab 18.75 17.5 31
17.39 2.48 piab 26.25 18.7 32
21.93 16.72 piab 13 16.9 30
22.35 11.18 piab 24.25 17.8 31
25.66 16.68 piab 19 15.5 28
24.39 11.41 piab 29 19.8 34
26.36 13.96 piab 19 15.7 28
25.63 10.36 piab 20.75 18.8 32
24.41 5.74 piab 17 14.5 26
28.87 11.95 piab 23.25 19.2 33
25.58 4.54 piab 17.5 15.4 28
28.01 10.45 piab 20.25 17.3 30
32.36 13.59 piab 23.5 17.4 30
34.65 11.57 piab 21.25 16.9 30
26.69 3.53 piab 22.75 19.8 34
36.22 14.66 piab 21.25 17.6 31
28.75 6.12 piab 15.5 14 26
31.28 13.01 piab 21.5 15.8 24
32.92 8.55 piab 19.25 12.8 24
32.59 15.74 fasy 7 8.5 18
34.17 7.39 piab 23 17.5 31
32.11 12.21 fasy 7.75 9.1 19
38.72 12.17 piab 21.5 17.5 31
33.35 2.62 piab 21.5 17.6 31
41.38 11.18 piab 16.25 17.1 30
36.46 9.03 fasy 6.25 9.2 19
36.43 2.43 piab 22.25 18.4 32
43.37 11.23 piab 29.25 20 34
11.57 44.83 piab 13.75 15.9 28
47.31 17.19 piab 23.25 15.9 29
36.67 6.37 piab 15.75 15.7 28
39.18 5.69 piab 19.75 16.4 28
42 6.35 piab 24 17.9 31
49.3 5.82 piab 27.75 18.9 33
39.25 4.6 piab 13 7.5 17
48.35 6.56 fasy 8.5 8.7 18
44.53 6.08 piab 19.75 16.3 29
47.46 1.74 piab 12.75 14.6 17
48.95 8.26 piab 22 17.8 31
41.51 2.33 piab 16.25 15 27
44.38 7.53 piab 10.5 11.3 26
1.61 48.07 piab 12 14.2 26
49.34 12.7 piab 23 17.9 31
41.19 4.85 piab 17.25 17.7 31
42.91 5.34 fasy 15.5 12.8 26
47.44 0.25 fasy 8.75 11.3 23
44.39 4.18 piab 23 17.9 31
44.86 1.61 piab 22.75 16.9 30
46.86 3.78 piab 19.5 15.2 27
43.61 2.57 piab 17.5 16.4 29
1.91 45.7 piab 13.25 13.6 25
48.67 1.9 piab 10 11.7 22
4.16 45.81 piab 19.25 16.1 29
1.71 43.52 piab 19.25 14.9 27
5.17 44.71 piab 17.25 16.7 29
4.55 48.07 piab 18.25 17.2 30
6.78 48.28 piab 19.75 16.3 29
7.88 46.94 piab 17 14.4 26
48.75 45.96 piab 24.5 17.1 30
7.41 45.06 piab 17.5 15.9 28
6.69 43.33 piab 18.75 17.9 31
7.7 42.18 fasy 9 14 28
8.64 42.45 fasy 8.25 13.3 26
8.5 43.86 piab 18.5 16.6 29
9.06 40.86 piab 16.25 16.3 29
10.34 39.74 piab 24.25 18.3 32
11.22 43.78 piab 18.25 15.1 27
14.31 44.81 piab 15.75 14 26
13.5 41.63 piab 16.75 15.5 28
43.5 48.94 fasy 24.25 19.8 40
43.5 48.94 piab 19.25 15.5 28
15.64 43.68 piab 26.25 20.1 34
17.98 41.19 piab 15.5 15.9 28
20.63 45.71 piab 28.25 18.2 32
21.89 41.53 piab 20.5 18.2 32
22.36 43.67 piab 7.25 6.9 16
22.62 43.27 piab 17.25 14.6 26
24.81 43.27 piab 31 20.4 35
25.67 42 piab 19.25 18.3 32
27.1 42.73 piab 14.5 16 28
29.68 43.18 piab 24.25 19 33
43.69 49.86 piab 26.75 17.8 31
28.79 41.63 piab 23 19.2 33
31.06 42.03 piab 20.5 18.5 32
30.1 40.6 piab 19.25 18.6 32
30.35 38.62 piab 23.75 19.9 34
31.1 39.71 piab 17.75 18.2 32
33.04 40.17 piab 22.5 18.2 32
35.47 40.72 piab 27.5 20.6 35
38.12 40.55 fasy 8.5 11.2 23
38.88 44.53 piab 30.25 21.9 37
39.01 39.69 piab 21.75 18.3 32
38 4.24 piab 22 21.4 37
40.18 43.48 piab 15.5 17.3 30
41.08 42.24 piab 23 19 33
42.38 43.55 piab 15.75 17.6 31
43.1 41.93 piab 15.5 17.7 31
42.05 40.45 piab 19.5 18.6 32
42.89 39.2 piab 23.5 19.1 33
45.36 42.18 piab 17.75 18.2 32
44.25 43.69 piab 15.75 14.6 26
46.99 39.55 piab 27.25 19.7 34
48.2 39.22 fasy 7.5 14.8 29
40.88 47.01 piab 21.5 17.9 31
40.88 47.01 piab 18 16.8 30
47.28 38.61 fasy 6 10.3 21
48.4 38.28 piab 23.25 18.1 31
49.63 34.17 piab 16.75 16 28
48.5 35.45 piab 12 13.5 25
47.37 33.86 piab 14.25 14.6 26
46.58 34.98 piab 18.25 18.3 32
